30393,234,3 
P-291,U1,0,0,0,74,81,40
P-322,U1,0,0,40,45,66,142
P-278,U1,0,81,0,73,125,80
P-261,U1,0,125,0,77,225,42
P-59,U1,0,140,42,49,225,121
P-371,U1,0,227,0,52,318,48
P-194,U1,0,247,48,48,318,157
P-171,U1,52,225,0,102,318,55
P-149,U1,52,214,55,97,318,118
P-172,U1,74,0,0,125,71,76
P-179,U1,52,0,76,125,62,139
P-397,U1,74,71,0,133,122,80
P-227,U1,0,66,80,96,125,153
P-192,U1,77,125,0,131,201,74
P-369,U1,56,125,74,131,209,132
P-135,U1,102,210,0,168,318,45
P-99,U1,102,247,45,170,318,115
P-382,U1,52,212,118,154,318,161
P-234,U1,131,136,0,174,201,104
P-189,U1,137,74,0,224,130,63
P-75,U1,139,0,0,224,74,43
P-120,U1,133,0,43,224,48,117
P-341,U1,137,58,63,224,130,120
P-351,U1,132,23,120,224,130,161
P-313,U1,170,227,0,224,318,54
P-31,U1,175,242,54,224,318,125
P-307,U1,181,130,0,224,226,82
P-77,U1,174,130,82,224,226,147
P-327,U2,0,0,0,58,96,44
P-156,U2,0,0,44,47,73,154
P-146,U2,0,96,0,45,196,56
P-260,U2,0,96,56,43,145,155
P-185,U2,0,218,0,42,318,67
P-57,U2,42,235,0,106,318,59
P-198,U2,42,234,59,101,318,133
P-220,U2,58,0,0,102,104,71
P-334,U2,48,0,71,102,99,136
P-78,U2,58,104,0,132,208,42
P-169,U2,45,104,42,132,152,136
P-392,U2,45,152,42,132,215,82
P-4,U2,24,152,82,132,227,138
P-164,U2,102,0,0,142,102,87
P-381,U2,106,249,0,154,318,64
P-258,U2,142,49,0,224,120,55
P-384,U2,151,49,55,224,118,115
P-336,U2,152,0,0,224,49,68
P-53,U2,102,0,87,208,44,140
P-141,U2,137,48,115,224,118,158
P-26,U2,155,245,0,224,318,56
P-39,U2,106,257,64,170,318,160
P-87,U2,170,120,0,224,227,53
P-337,U2,147,125,53,224,227,93
P-122,U2,147,123,93,224,227,139
P-375,U2,176,251,56,224,318,153
P-126,U3,2,233,0,66,318,60
P-136,U3,4,84,0,51,150,102
P-350,U3,12,1,0,97,61,69
P-17,U3,14,150,0,77,233,57
P-289,U3,4,88,102,47,158,168
P-310,U3,4,62,168,47,127,227
P-353,U3,16,163,57,77,233,123
P-275,U3,21,241,60,66,318,134
P-119,U3,1,233,134,42,312,238
P-16,U3,66,255,0,114,318,93
P-44,U3,42,233,134,91,273,218
P-399,U3,50,273,134,94,318,223
P-214,U3,76,61,0,134,142,61
P-361,U3,32,11,69,97,62,130
P-352,U3,51,62,61,140,105,127
P-177,U3,50,64,127,94,105,226
P-236,U3,78,142,0,134,233,56
P-199,U3,77,160,56,135,233,123
P-304,U3,97,10,0,165,61,89
